geneName	family
ONI26047	4
ONI28078	4
ONI28912	4
ONI30454	4
ONI31794	4
ONI34117	4
ONI24811	4
ONI24937	4
ONI25675	4
ONI14939	4
ONI16226	4
ONI18348	4
ONI09651	4
ONI10996	4
ONI13437	4
ONI13971	4
ONI13973	4
ONI05452	4
ONI07639	4
ONH99027	4
ONH99789	4
ONI01254	4
ONI01956	4
ONI01957	4
ONH94171	4
ONH95094	4
ONH95095	4
ONH95096	4
ONH95097	4
ONH95098	4
ONH95099	4
ONH96630	4
ONH97427	4
ONH97607	4
ONH97609	4
ONH97909	4
ONH98069	4
ONH98354	4
ONH91197	4
ONH92766	4
ONI32694	4
ONI24347	4
ONI09929	4
ONI00230	4
ONH97606	4
ONI24529	4
ONH98353	4
ONI26050	6
ONI26448	6
ONI28244	6
ONI31401	6
ONI32650	6
ONI33034	6
ONI34267	6
ONI36106	6
ONI36107	6
ONI36108	6
ONI22045	6
ONI23573	6
ONI24136	6
ONI24137	6
ONI24138	6
ONI25164	6
ONI00397	6
ONH98224	6
ONH90246	6
ONH91150	6
ONI22044	6
ONI22046	6
ONI26052	8
ONI26284	8
ONI26298	8
ONI26339	8
ONI26475	8
ONI26704	8
ONI26865	8
ONI27137	8
ONI27311	8
ONI27715	8
ONI27803	8
ONI28590	8
ONI28893	8
ONI29058	8
ONI29539	8
ONI29838	8
ONI29870	8
ONI30661	8
ONI30726	8
ONI30780	8
ONI30925	8
ONI30926	8
ONI31163	8
ONI31732	8
ONI32305	8
ONI32985	8
ONI33045	8
ONI33936	8
ONI33937	8
ONI34149	8
ONI34379	8
ONI34537	8
ONI34983	8
ONI35496	8
ONI35714	8
ONI35771	8
ONI36475	8
ONI20524	8
ONI20969	8
ONI21063	8
ONI21894	8
ONI22031	8
ONI22333	8
ONI22888	8
ONI23179	8
ONI23381	8
ONI23741	8
ONI24232	8
ONI24744	8
ONI25199	8
ONI25205	8
ONI25428	8
ONI25472	8
ONI14841	8
ONI15420	8
ONI15548	8
ONI16070	8
ONI16160	8
ONI16293	8
ONI16646	8
ONI16677	8
ONI16681	8
ONI16883	8
ONI17055	8
ONI17179	8
ONI17553	8
ONI17874	8
ONI17956	8
ONI18127	8
ONI18178	8
ONI18543	8
ONI18570	8
ONI18700	8
ONI18885	8
ONI19087	8
ONI19129	8
ONI19141	8
ONI19211	8
ONI19226	8
ONI19233	8
ONI19643	8
ONI19701	8
ONI20050	8
ONI20060	8
ONI09643	8
ONI09895	8
ONI10428	8
ONI10516	8
ONI10744	8
ONI10870	8
ONI10925	8
ONI11044	8
ONI11096	8
