geneName	family
ONI26298	1
ONI26339	1
ONI26865	1
ONI27311	1
ONI27803	1
ONI28893	1
ONI29539	1
ONI30780	1
ONI34149	1
ONI34537	1
ONI35714	1
ONI21894	1
ONI25199	1
ONI25205	1
ONI25472	1
ONI15420	1
ONI15548	1
ONI16293	1
ONI18178	1
ONI18543	1
ONI18570	1
ONI19141	1
ONI19211	1
ONI20050	1
ONI10925	1
ONI11801	1
ONI12073	1
ONI05847	1
ONI08189	1
ONI08222	1
ONI08614	1
ONI08659	1
ONI08673	1
ONI08729	1
ONH99244	1
ONH99940	1
ONI00160	1
ONI03860	1
ONI04559	1
ONI05194	1
ONH95429	1
ONH96035	1
ONH96049	1
ONH96689	1
ONH98272	1
ONH89808	1
ONH90372	1
ONH91831	1
ONH92574	1
ONH92996	1
ONH93331	1
ONI26822	1
ONI28332	1
ONI30661	1
ONI30692	1
ONI30821	1
ONI31732	1
ONI33743	1
ONI34379	1
ONI36360	1
ONI20524	1
ONI23741	1
ONI17510	1
ONI19196	1
ONI19233	1
ONI09643	1
ONI10428	1
ONI11096	1
ONI11114	1
ONI13778	1
ONI08687	1
ONH99357	1
ONH99718	1
ONI02885	1
ONI04100	1
ONI04226	1
ONI04257	1
ONI04721	1
ONH96891	1
ONH96945	1
ONH98216	1
ONH89643	1
ONH90298	1
ONH91074	1
ONH92665	1
ONH93939	1
ONI32938	1
ONI23381	1
ONI06782	1
ONI04850	1
ONH92203	1
ONI26461	1
ONI27415	1
ONI31430	1
ONI33937	1
ONI22432	1
ONI25286	1
ONI16160	1
ONI17677	1
ONI18419	1
ONI08706	1
ONH98932	1
ONI03928	1
ONH97666	1
ONH98218	1
ONH98284	1
ONH89530	1
ONI30939	1
ONI14774	1
ONI14841	1
ONI01516	1
ONI19340	1
ONI07786	1
ONI10629	1
ONI19243	1
ONH99517	1
ONI28777	1
ONI25153	1
ONI18667	1
ONI19202	1
ONI20112	1
ONH99091	1
ONI00602	1
ONH97159	1
ONH98314	1
ONI25908	1
ONI33613	1
ONI08727	1
ONI04846	1
ONI03223	1
ONI07780	1
ONI09767	1
ONI25090	1
ONI22434	1
ONH94188	1
ONH93860	1
ONI26052	2
ONI26284	2
