geneName	family
ONI26033	5046
ONI26717	5046
ONI32998	4063
ONI35127	5046
ONI25539	4063
ONI25625	1
ONI11253	5046
ONI12649	5046
ONI07406	4063
ONI00120	1
ONH90539	5046
ONI26047	4068
ONI28912	7
ONI31794	7
ONI34117	4068
ONI25675	7
ONI14939	7
ONI18348	7
ONI09651	4068
ONI13437	7
ONI13971	4069
ONI05452	7
ONH99027	7
ONH99789	4068
ONI01956	4068
ONI01957	4068
ONH94171	4068
ONH97427	4068
ONH97909	7
ONH98354	8
ONH91197	7
ONH92766	7
ONI26048	42
ONI26049	42
ONI23069	31
ONI03927	25
ONI26050	74
ONI26448	74
ONI28244	74
ONI31401	74
ONI32650	74
ONI33034	74
ONI34267	74
ONI36106	74
ONI36107	74
ONI22045	73
ONI23573	74
ONI24136	73
ONI24137	73
ONI24138	73
ONI00397	73
ONH98224	74
ONH90246	74
ONH91150	74
ONI26052	4126
ONI26284	78
ONI26298	78
ONI26339	79
ONI26475	4944
ONI26704	79
ONI26865	4126
ONI27311	4943
ONI27803	78
ONI28590	4944
ONI28893	78
ONI29058	4943
ONI29539	4943
ONI29838	78
ONI30726	4126
ONI30780	4943
ONI30925	79
ONI30926	79
ONI31163	79
ONI32305	78
ONI32985	79
ONI33045	79
ONI33936	78
ONI34149	79
ONI34537	4943
ONI35496	78
ONI35714	4126
ONI35771	79
ONI36475	78
ONI20969	79
ONI21894	4943
ONI22031	79
ONI25199	4943
ONI25205	4943
ONI25472	78
ONI15420	4943
ONI15548	4944
ONI16293	4943
ONI16646	78
ONI16677	78
ONI16681	78
ONI17055	79
ONI17553	78
ONI17956	79
ONI18178	78
ONI18543	78
ONI18570	78
ONI18700	4126
ONI19087	79
ONI19129	79
ONI19141	4943
ONI19211	4942
ONI19226	78
ONI19643	4944
ONI19701	79
ONI20050	78
ONI09895	79
ONI10870	4126
ONI10925	4943
ONI11044	79
ONI11801	4120
ONI11923	4126
ONI12073	78
ONI14197	79
ONI05847	78
ONI06206	79
ONI08189	4942
ONI08222	78
ONI08614	4943
ONI08659	4943
ONI08673	78
ONI08729	4942
ONI09497	79
ONI09527	4126
ONH99244	4943
ONH99940	78
ONI00156	4126
ONI00160	4126
ONI01448	79
ONI01921	4944
ONI02346	4944
ONI02527	4126
ONI02688	78
ONI02697	79
ONI03115	79
ONI03860	78
ONI04225	4126
ONI04516	4126
ONI04559	4943
ONI04921	79
ONI05188	78
ONI05194	78
ONH94185	79
ONH94307	4126
ONH94969	4944
ONH95022	79
ONH95333	78
ONH95363	78
ONH95429	78
ONH96035	78
ONH96049	78
ONH96168	78
ONH96536	79
ONH96601	78
ONH96625	4126
ONH96689	4943
ONH96897	4126
ONH98272	78
ONH98763	79
ONH89632	78
ONH89725	4126
ONH89808	4943
ONH90372	4943
ONH91625	79
ONH91831	4943
ONH92343	79
ONH92353	4944
ONH92510	79
ONH92574	78
ONH92996	78
ONH93331	4943
ONI26056	85
ONI01153	85
ONI26057	86
ONI26058	86
ONI20177	86
ONI26068	4135
ONI15121	4135
ONI26069	90
ONI33602	91
ONI24598	4138
ONI17644	4138
ONI11351	90
ONI11352	90
ONI11353	90
ONI11354	90
ONI13224	4137
ONI13225	4137
ONI05564	91
ONH99653	4137
ONH99654	4137
ONI00175	91
