geneName	family
ONI26050	5
ONI26448	5
ONI28244	5
ONI31401	5
ONI32650	5
ONI33034	5
ONI34267	5
ONI36106	5
ONI36107	5
ONI36108	5
ONI22045	5
ONI23573	5
ONI24136	5
ONI24137	5
ONI24138	5
ONI25164	5
ONI00397	5
ONH98224	5
ONH90246	5
ONH91150	5
ONI22044	5
ONI22046	5
ONI26068	8
ONI27890	8
ONI36276	8
ONI15121	8
ONI11780	8
ONI06873	8
ONH98958	8
ONI26071	10
ONI27019	10
ONI27021	10
ONI15100	10
ONI15101	10
ONI15102	10
ONI15109	10
ONI15112	10
ONI15114	10
ONI15115	10
ONH94975	10
ONI15105	10
ONI15111	10
ONI26080	12
ONI09936	12
ONI04986	12
ONI26083	13
ONI26085	13
ONI22339	13
ONI13883	13
ONI13890	13
ONI13892	13
ONH92164	13
ONH89479	13
ONH89480	13
ONI26093	14
ONI18100	14
ONI09685	14
ONH92990	14
ONI26095	15
ONI28314	15
ONI34446	15
ONI21500	15
ONI11490	15
ONI01344	15
ONH92963	15
ONI26096	16
ONI34367	16
ONI20358	16
ONI20418	16
ONI25919	16
ONI18412	16
ONI18418	16
ONI10748	16
ONI05299	16
ONI05874	16
ONI05877	16
ONI07492	16
ONI07495	16
ONI07500	16
ONH99324	16
ONH99325	16
ONH99326	16
ONH99328	16
ONI01821	16
ONH98762	16
ONH90095	16
ONH92586	16
ONH93170	16
ONI26599	16
ONI26602	16
ONI12942	16
ONH95770	16
ONI07494	16
ONI26102	18
ONI05352	18
ONI26103	19
ONH99007	19
ONH94222	19
ONI26112	21
ONI36357	21
ONI26114	22
ONI27919	22
ONH93430	22
ONI28088	22
ONI19597	22
ONI12880	22
ONI07206	22
ONH96231	22
ONI26115	23
ONI16054	23
ONI26122	25
ONI03784	25
ONI26123	26
ONI26130	26
ONI26131	26
ONI26132	26
ONI35078	26
ONI20847	26
ONI20858	26
ONI20910	26
ONI20911	26
ONI20912	26
ONI20921	26
ONI20923	26
ONI21067	26
ONI21346	26
ONI08057	26
ONH97984	26
ONH93825	26
ONI02071	26
ONI26133	28
ONH92923	28
ONI26138	29
ONH92919	29
ONI26141	30
ONI35789	30
ONI26147	32
ONH92911	32
ONI26156	35
ONH99511	35
ONI26159	36
ONI27527	36
ONI27528	36
ONI27529	36
ONI27530	36
ONI27532	36
ONI27534	36
ONI27535	36
ONI27537	36
ONI27538	36
ONI27542	36
ONI27544	36
ONI27546	36
ONI27611	36
ONI27612	36
ONI30832	36
ONI25202	36
ONI15552	36
ONI17579	36
ONI06920	36
ONI26167	38
ONH92901	38
ONI26170	39
ONI32283	39
ONH99535	39
ONI26196	42
ONI26989	42
ONI32544	42
ONI13244	42
ONH96204	42
ONH96206	42
ONH98474	42
ONH91017	42
ONH91024	42
ONH91025	42
ONH91026	42
ONH91027	42
ONH92875	42
ONI26200	43
ONI25889	43
ONI10770	43
ONH92813	43
ONH92871	43
ONI26203	44
ONI26204	44
ONI28773	44
ONI32553	44
ONI34652	44
ONI15543	44
ONI15572	44
ONI19789	44
ONI10286	44
ONI14387	44
ONI14408	44
ONI00640	44
ONH96976	44
ONH97521	44
ONH97784	44
ONH91032	44
ONH92238	44
ONI26219	49
ONH92859	49
ONI26227	51
ONH93579	51
ONI26229	52
ONI04501	52
ONI26233	53
ONI30125	53
ONI20266	53
